College Name,City,State,Type,Fees,No of Courses,Course Names,Facilities
A N College Patna - Anugrah Narayan College,Patna,Bihar,Public,11k,64,"['BA Political Science', 'BA History', 'BA Economics', 'BA English', 'BA Geography', 'BA Hindi', 'BA Sociology', 'BA Botany', 'BA Biotechnology', 'BA Philosophy', 'BA Psychology', 'MBA', 'MCA', 'B.Ed', 'BA Environment And Water Management', 'BA Urdu', 'BA Maithili', 'MA Maithili', 'MA Hindi', 'B.Sc Mathematics Hons']","['Medical/Hospital', 'Library', 'Sports', 'I.T Infrastructure', 'Cafeteria', 'Laboratories', 'Banks/ATMs', 'Auditorium', 'Guest Room/Waiting Room', 'Alumni Associations', 'Boys Hostel', 'Girls Hostel', 'Gym', 'Training and Placement Cell']"
A1 Global Institute of Engineering and Technology,Prakasam,Andhra Pradesh,Private,12.9lakhs,16,"['B.Tech Electronics and Communication Engineering', 'B.Tech Computer Science and Engineering', 'Diploma in Electrical and Electronics Engineering', 'B.Tech Artificial Intelligence and Data Science', 'B.Tech Artificial Intelligence and Machine Learning', 'Diploma in Mechanical Engineering', 'B.Tech Internet of Things and Cyber Security With Block Chain Tech', 'B.Tech Civil Engineering', 'B.Tech Mechanical Engineering', 'M.Tech Artificial Intelligence and Machine Learning', 'B.Tech Computer Science and Business Systems', 'B.Tech Electrical and Electronics Engineering', 'M.Tech Computer Science and Engineering', 'M.Tech CAD CAM', 'M.Tech Computer Aided Structural Analysis and Design', 'M.Tech Embedded System and VLSI']","['Library', 'Sports', 'I.T Infrastructure', 'Cafeteria', 'Auditorium', 'Laboratories', 'Transport Facility']"
AAA College of Engineering and Technology,Virudhunagar,Tamil Nadu,Private,8.0lakhs,12,"['BE Computer Science and Engineering', 'BE Mechanical Engineering', 'BE Electronics and Communication Engineering', 'BE Electrical and Electronics Engineering', 'BE Civil Engineering', 'B.Tech Artificial Intelligence and Data Science', 'BE Computer Science and Engineering Cyber Security', 'B.Tech Information Technology', 'Ph.D Mechanical Engineering', 'Ph.D Computer Science and Engineering Part Time', 'Ph.D Computer Science and Engineering', 'Ph.D Mechanical Engineering Part Time']","['Boys Hostel', 'Girls Hostel', 'Medical/Hospital', 'Gym', 'Library', 'Sports', 'I.T Infrastructure', 'Cafeteria', 'Transport Facility', 'Wifi', 'Laboratories', 'Auditorium']"
Aadishwar College of Technology,Bhoyan Rathod,Gujarat,Private,2.84 Lakhs,15,"['B.Tech Aeronautical Engineering', 'B.Tech Electrical Engineering', 'B.Tech Mechanical Engineering II Shift', 'B.Tech Electrical and Electronics Engineering', 'B.Tech Automobile Engineering', 'B.Tech Mechanical Engineering', 'B.Tech Computer Engineering', 'B.Tech Civil Engineering', 'B.Tech Chemical Engineering', 'B.Tech Information Technology', 'B.Tech Electronics and Communication Engineering', 'M.Tech Communication System Engineering', 'M.Tech Electrical Engineering', 'M.Tech Environmental Engineering', 'M.Tech Advanced Manufacturing Systems']","['Library', 'Sports', 'I.T Infrastructure', 'Cafeteria', 'Auditorium', 'Transport Facility', 'Alumni Associations', 'Laboratories']"
AAERT and SSB Faculty of Architecture,Surat,Gujarat,Private,16k,6,"['B.Arch', 'M.Arch Urban Design', 'M.Arch Urban and Regional Planning', 'Diploma in Interior Design', 'BID', 'BVA']","['Library', 'I.T Infrastructure', 'Laboratories', 'Sports', 'Cafeteria', 'Convenience Store', 'Boys Hostel', 'Girls Hostel']"
Aakar Academy of Architecture,Bangalore,Karnataka,Private,20k,1,['B.Arch'],"['Library', 'Sports', 'I.T Infrastructure', 'Laboratories', 'Auditorium']"
Aalim Muhammed Salegh Academy of Architecture,Chennai,Tamil Nadu,Private,90k,1,['B.Arch'],"['Library', 'I.T Infrastructure', 'Auditorium', 'Sports', 'Cafeteria', 'Laboratories', 'Medical/Hospital', 'Gym', 'Guest Room/Waiting Room', 'Boys Hostel', 'Girls Hostel', 'Transport Facility']"
Aalim Muhammed Salegh College of Engineering,Chennai,Tamil Nadu,Private,43k,9,"['BE Computer Science and Engineering', 'B.Tech Artificial Intelligence and Data Science', 'BE Electronics and Communication Engineering', 'B.Tech Information Technology', 'B.Tech Cyber Security', 'BE Mechanical Engineering', 'B.Tech Computer Science and Business Systems', 'BE Electrical and Electronics Engineering', 'BE Civil Engineering']","['Boys Hostel', 'Girls Hostel', 'Medical/Hospital', 'Gym', 'Library', 'Sports', 'I.T Infrastructure', 'Cafeteria', 'Auditorium', 'Transport Facility', 'Laboratories', 'Guest Room/Waiting Room']"
Aalim Muhammed Salegh Polytechnic College,Chennai,Tamil Nadu,Private,5.5lakhs,6,"['Diploma in Electrical and Electronics Engineering', 'Diploma in Mechanical Engineering', 'Diploma in Computer Engineering', 'Diploma in Electronics and Communication Engineering', 'Diploma in Automobile Engineering', 'Diploma in Communication and Computer Networking']","['Boys Hostel', 'Girls Hostel', 'Medical/Hospital', 'Library', 'Sports', 'I.T Infrastructure', 'Cafeteria', 'Laboratories', 'Auditorium', 'Gym', 'Guest Room/Waiting Room', 'Alumni Associations', 'Parking Facility', 'Training and Placement Cell', 'Classrooms']"
AANM and VVRSR Polytechnic,Krishna,Andhra Pradesh,Private,6.3lakhs,7,"['Diploma in Computer Engineering', 'Diploma in Electronics and Communication Engineering', 'Diploma in Electrical and Electronics Engineering', 'Diploma in Artificial Intelligence and Machine Learning', 'Diploma in Mechanical Engineering', 'Diploma in Civil Engineering', 'Diploma In Internet of Things']","['Gym', 'Library', 'Sports', 'I.T Infrastructure', 'Alumni Associations', 'Laboratories', 'Boys Hostel', 'Girls Hostel', 'Classrooms', 'Cafeteria', 'Auditorium', 'Medical/Hospital', 'Guest Room/Waiting Room', 'Parking Facility']"
